	Bayesian Skyline: ND2_Carpodacus_erythrinus1_c4.log			
Time	Mean	Median	Upper	Lower
6404.049340239715	7777773.492512736	7046856.2798769325	1.5286751583729645E7	4020467.683750703
6549.595916154254	7768578.82376295	7045054.540346844	1.5284732507047694E7	4020467.683750703
6695.142492068793	7762726.110584255	7042112.41445994	1.5262717610108113E7	4017779.919103084
6840.689067983332	7757317.405584472	7038813.1262738295	1.5260429949637303E7	4014190.5325998976
6986.235643897871	7753986.976172639	7037483.493106662	1.5235552878654145E7	4013261.8968692813
7131.78221981241	7753196.634014798	7035977.785495707	1.5235552878654145E7	4011857.8450706047
7277.3287957269495	7744926.799496137	7034441.402509825	1.5148863790971817E7	4010619.623129013
7422.8753716414885	7743332.3554183375	7033326.901272467	1.5124212240489762E7	4009872.0037086275
7568.421947556028	7727096.735821167	7031667.897534979	1.5115700718025783E7	4008868.0561477435
7713.968523470567	7710281.430693887	7025079.416555914	1.5060964648539083E7	3990815.8782324693
7859.515099385106	7705824.787342622	7024298.675236645	1.5024024749603705E7	3990372.2284187614
8005.061675299645	7691784.359003732	7023115.957835571	1.5016225154123016E7	3986505.309907316
8150.608251214184	7686334.428294539	7021302.633829768	1.5003596442645796E7	3981350.9168281304
8296.154827128723	7679352.263625799	7017927.324285514	1.4993542136224264E7	3974945.692737822
8441.701403043262	7678779.475804675	7017927.324285514	1.4993542136224264E7	3971944.9771260926
8587.247978957801	7677252.953908733	7017672.610751231	1.4993542136224264E7	3971944.9771260926
8732.79455487234	7672822.707602918	7015285.448563746	1.4963681686423374E7	3970212.1875904175
8878.34113078688	7662931.875930274	7013414.057292126	1.4940307857431743E7	3962249.5139844604
9023.887706701418	7648849.89875806	7006731.673856516	1.4908983380037306E7	3942062.9430021504
9169.434282615957	7639090.349484377	7003756.8112805905	1.4893656447799327E7	3928081.9154645614
9314.980858530496	7634743.562270645	7001816.120824864	1.4893656447799327E7	3916656.105826756
9460.527434445035	7633778.098165934	7001816.120824864	1.4893656447799327E7	3907809.3060556683
9606.074010359574	7615992.799988493	6999029.0812334	1.481097543489243E7	3904329.3484267173
9751.620586274114	7610900.376904798	6992429.972348732	1.481097543489243E7	3887760.1063183765
9897.167162188653	7605110.704297559	6990168.662176682	1.481097543489243E7	3877460.8437398537
10042.713738103192	7599673.245250967	6986246.293239691	1.479759470870422E7	3872288.990674416
10188.26031401773	7588795.318780282	6978155.387574337	1.4794197697454158E7	3841973.341351237
10333.80688993227	7582993.784853213	6974408.816186372	1.4794197697454158E7	3819746.478392194
10479.353465846809	7575426.088802488	6968251.335040071	1.4789997096319651E7	3811556.731774126
10624.900041761348	7571286.59882188	6964934.130733046	1.4769076424279425E7	3806253.4649669053
10770.446617675887	7565204.261440231	6962047.6805088315	1.4738514428995378E7	3793760.11914173
10915.993193590426	7561649.394505918	6958922.33394766	1.4738514428995378E7	3786927.1046447433
11061.539769504965	7557873.122509982	6956612.143909693	1.4732471915160786E7	3781967.269356084
11207.086345419504	7553781.81211194	6954847.800111428	1.4715537642801257E7	3772882.075949217
11352.632921334043	7546894.285800479	6954216.452259325	1.4704082022115452E7	3755721.101871447
11498.179497248582	7541346.403109033	6951460.692157934	1.468482755338359E7	3753574.0999097587
11643.726073163121	7534026.187327865	6947086.953211107	1.4667884527252689E7	3741444.951535795
11789.27264907766	7528012.465722616	6945174.855416001	1.4639402899584915E7	3730869.603524608
11934.8192249922	7521318.849547415	6942033.719318504	1.459039098497258E7	3725075.22769246
12080.365800906739	7516151.969639563	6938848.931106185	1.4576418446368782E7	3716310.824942153
12225.912376821278	7513137.120732465	6936538.231952002	1.4568257092180707E7	3716310.824942153
12371.458952735817	7506229.881731561	6932349.432945102	1.4559160752965143E7	3712662.9994684733
12517.005528650356	7503612.7969897175	6932135.917326981	1.4549550325241605E7	3709170.66547271
12662.552104564895	7496307.042417706	6924740.235383623	1.4543386658944828E7	3692371.807399502
12808.098680479434	7491628.92966626	6920541.871679389	1.4543386658944828E7	3679123.7763856775
12953.645256393973	7487272.929169587	6916966.257450637	1.4543386658944828E7	3670285.274932375
13099.191832308512	7482607.362398958	6913696.161220424	1.4543386658944828E7	3653512.820428899
13244.738408223051	7476730.576072717	6908030.741811125	1.4543386658944828E7	3628005.667270561
13390.28498413759	7474473.967670278	6905922.946019301	1.4543386658944828E7	3626797.468949572
13535.83156005213	7466469.516856335	6900730.767468448	1.4511727439516837E7	3612306.7104235096
13681.378135966668	7460340.75450821	6899892.308222443	1.4506844876218606E7	3591619.0799415954
13826.924711881207	7454784.69116312	6896734.782384629	1.4506844876218606E7	3579062.520738108
13972.471287795746	7450352.907368808	6896418.463180066	1.4504502067530654E7	3569404.5763155245
14118.017863710285	7440947.9809237905	6888996.504999349	1.4482461512062598E7	3540293.284632245
14263.564439624824	7434449.837918897	6886785.315357359	1.4474728363547625E7	3525220.8398202453
14409.111015539364	7430232.678004538	6885076.670151956	1.4434705026860949E7	3475566.948055369
14554.657591453903	7424484.26521201	6884102.972000404	1.440741906302488E7	3469185.7590988893
14700.204167368442	7416704.372695855	6879135.953019957	1.4400896340225646E7	3459637.241468958
14845.75074328298	7402355.330329525	6873739.325654735	1.4333011555200761E7	3429913.9950893694
14991.29731919752	7398211.366893607	6872081.707338983	1.4333011555200761E7	3400106.942863498
15136.843895112059	7393077.741359853	6869741.098261341	1.4333011555200761E7	3388221.3807212026
15282.390471026598	7382533.29795074	6865102.195166042	1.4314840819138922E7	3371113.2563471557
15427.937046941137	7377079.123997241	6860595.629970822	1.4314840819138922E7	3351398.102974284
15573.483622855676	7373428.780980055	6859521.242960419	1.4314840819138922E7	3342579.9734282847
15719.030198770215	7366523.108871788	6854754.35800391	1.4314840819138922E7	3298518.1177254105
15864.576774684754	7362808.9243260445	6853998.291967723	1.4314840819138922E7	3284744.253707521
16010.123350599293	7356544.918697526	6851383.097380786	1.4306910950737746E7	3268956.4264388485
16155.669926513832	7349427.251764774	6846102.943447096	1.4275712177028438E7	3231507.9188102805
